150;LD1M / 00050469 / 4;;50,4100 M2;
151;LD1M / 00051001 / 3;3;0,4900 HA;
152;LD1M / 00051132 / 0;108;0,2100 HA;
153;LD1M / 00051384 / 1;221/1;0,0080 HA;
154;LD1M / 00053625 / 7;305/9;0,0796 HA;
155;LD1M / 00055022 / 4;231;0,1300 HA;
156;LD1M / 00055674 / 9;66;0,4200 HA;
157;LD1M / 00056373 / 6;133/5;0,1200 HA;
158;LD1M / 00056380 / 8;240/1;0,1963 HA;
159;LD1M / 00056503 / 7;144/2;0,0806 HA;
160;LD1M / 00056618 / 6;192;0,1000 HA;
null;null;null;null;
161;LD1M / 00011781 / 2;393;0,1400 HA;
null;null;null;null;
162;LD1M / 00011781 / 2;393;0,1400 HA;
163;LD1M / 00011783 / 6;334;0,1400;
164;LD1M / 00011784 / 3;335;0,1384 HA;
165;LD1M / 00012733 / 8;171819202122;0,3013 HA;
166;LD1M / 00012776 / 1;BRAK;0,3000 HA;
167;LD1M / 00012777 / 8;BRAK;0,4508 HA;
168;LD1M / 00012779 / 2;8;0,1100 HA;
169;LD1M / 00012780 / 2;9;0,1000 HA;
170;LD1M / 00013949 / 2;4 A;0,2756 HA;
171;LD1M / 00013950 / 2;13;0,0750 HA;
172;LD1M / 00013965 / 0;11;0,1487 HA;
173;LD1M / 00013967 / 4;63366/5;0,8879 HA;
174;LD1M / 00014755 / 2;14;0,1269 HA;
175;LD1M / 00015034 / 9;698;0,6000;
176;LD1M / 00015161 / 8;BRAK;0,1879 HA;
177;LD1M / 00015162 / 5;311/3;0,0948 HA;
178;LD1M / 00015741 / 8;259;0,2070 HA;
179;LD1M / 00015846 / 4;9;0,0888 HA;
180;LD1M / 00015848 / 8;361/2;0,1050 HA;
181;LD1M / 00016432 / 6;258;0,0810 HA;
182;LD1M / 00016952 / 7;---101/2125;1,8138 HA;
183;LD1M / 00017050 / 1;322/9;0,2913;
184;LD1M / 00017069 / 7;3/1;0,2136 HA;
185;LD1M / 00017669 / 3;309;---;
186;LD1M / 00017807 / 3;---;0,1400 HA;
187;LD1M / 00017808 / 0;292/2;0,3534 HA;
188;LD1M / 00018331 / 2;320/3320/7320/8;0,1200 HA;
189;LD1M / 00018332 / 9;289/4289/5319/3;0,2168 HA;
190;LD1M / 00018333 / 6;294/2;0,2695;
191;LD1M / 00018697 / 5;204;0,0661 HA;
192;LD1M / 00019352 / 2;381;0,1000 HA;
193;LD1M / 00019353 / 9;7;0,0426 HA;
